population[million],1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BHS,0.109526,0.115108,0.121083,0.127331,0.133697,0.140049,0.146364,0.152607,0.158629,0.16425,0.169356,0.173867,0.177844,0.181489,0.185097,0.188882,0.192905,0.197118,0.201511,0.206038,0.21066,0.215404,0.220275,0.225185,0.230016,0.234684,0.239132,0.243391,0.247576,0.251855,0.256338,0.261117,0.266133,0.271165,0.275903,0.280151,0.283792,0.286968,0.290054,0.293572,0.297891,0.303138,0.30917,0.315757,0.322539,0.329243,0.335801,0.342259,0.348587,0.35478,0.36083,0.366711,0.372388,0.377841,0.383054,0.388019
BIH,3.21452,3.277096,3.341809,3.406466,3.468083,3.524596,3.574972,3.619997,3.661642,3.702834,3.745637,3.790948,3.838002,3.885229,3.930283,3.971608,4.008411,4.041623,4.07348,4.107135,4.144726,4.185074,4.226663,4.270598,4.318301,4.369527,4.42846,4.491745,4.542757,4.559256,4.526996,4.437898,4.301169,4.141167,3.992256,3.879278,3.810649,3.779354,3.775898,3.784389,3.792878,3.799747,3.808347,3.817313,3.825872,3.833377,3.838504,3.840418,3.839749,3.837732,3.835258,3.83231,3.828419,3.823533,3.817554,3.810416
BLR,8.198,8.271216,8.351928,8.437232,8.524224,8.61,8.696496,8.785648,8.874552,8.960304,9.04,9.115576,9.188968,9.257272,9.317584,9.367,9.411,9.463,9.525,9.584,9.643,9.71,9.776,9.843,9.91,9.975,10.043,10.111,10.14,10.17,10.189,10.194,10.216,10.239,10.227,10.194,10.16,10.117,10.069,10.035,10.005,9.928,9.865,9.797,9.73,9.663,9.604,9.56,9.528,9.507,9.49,9.473,9.464,9.466,9.483,9.513
BLZ,0.092068,0.094701,0.097389,0.100166,0.10307,0.106121,0.109344,0.112699,0.116061,0.11926,0.122179,0.124792,0.127148,0.129294,0.131306,0.133261,0.135145,0.136991,0.138972,0.141308,0.144151,0.147566,0.151498,0.15582,0.160342,0.164916,0.16957,0.174326,0.179025,0.18347,0.187552,0.191127,0.194321,0.197615,0.201678,0.206962,0.213674,0.221608,0.230289,0.239024,0.247312,0.254989,0.262202,0.269132,0.276085,0.283279,0.290751,0.298403,0.306165,0.313925,0.321609,0.329193,0.336707,0.344193,0.351706,0.359287
BMU,0.0444,0.0455,0.0466,0.0477,0.0489,0.0501,0.051,0.052,0.053,0.054,0.055,0.0546,0.0542,0.0538,0.0534,0.053,0.0532,0.0534,0.0536,0.0538,0.05467,0.05505,0.055449,0.05593,0.056423,0.056898,0.057382,0.057849,0.058347,0.058841,0.059326,0.059021,0.058595,0.05891,0.05932,0.059746,0.060129,0.060497,0.060943,0.061285,0.061833,0.062504,0.062912,0.063325,0.06374,0.064154,0.064523,0.064888,0.065273,0.065636,0.065124,0.064564,0.064798,0.065001,0.065139,0.065235
BOL,3.693451,3.764815,3.838096,3.913397,3.990855,4.07059,4.152665,4.237126,4.324066,4.413584,4.505774,4.600596,4.69809,4.79851,4.902173,5.009259,5.119833,5.233677,5.35032,5.469123,5.589572,5.711598,5.835186,5.959962,6.085499,6.211549,6.337893,6.464736,6.592787,6.723046,6.856246,6.992521,7.131699,7.273824,7.418864,7.566716,7.717445,7.87086,8.026257,8.18271,8.339512,8.496378,8.653343,8.81042,8.96774,9.125405,9.283345,9.441482,9.599916,9.758799,9.918245,10.078238,10.238762,10.399931,10.561887,10.724705
BRA,72.493585,74.706888,77.007549,79.368453,81.751802,84.130061,86.494987,88.853679,91.213009,93.585746,95.982453,98.4022,100.844391,103.320787,105.846274,108.431284,111.076063,113.776467,116.532153,119.341444,122.199721,125.107382,128.054757,131.014337,133.950551,136.836428,139.664639,142.437479,145.150468,147.801816,150.393143,152.916852,155.379009,157.81222,160.260508,162.755054,165.303155,167.893835,170.516482,173.153066,175.786441,178.419396,181.045592,183.627339,186.116363,188.47924,190.698241,192.784521,194.769696,196.701298,198.614208,200.517584,202.401584,204.259377,206.077898,207.847528
BRB,0.230934,0.231674,0.232584,0.233587,0.234547,0.235373,0.236043,0.23662,0.237199,0.237911,0.238847,0.240038,0.241441,0.24298,0.244539,0.246033,0.247444,0.248785,0.250035,0.251176,0.252197,0.25308,0.253836,0.254515,0.255195,0.255929,0.256738,0.257609,0.258524,0.259454,0.260374,0.261281,0.262184,0.263091,0.264015,0.264962,0.26594,0.266944,0.267949,0.26892,0.269838,0.270686,0.271479,0.272261,0.273091,0.274013,0.27504,0.276154,0.277315,0.278466,0.279566,0.280602,0.28158,0.282503,0.28338,0.284215
BRN,0.081825,0.085687,0.089603,0.09365,0.097933,0.102525,0.10745,0.11268,0.118176,0.123875,0.129729,0.135716,0.141836,0.148067,0.154395,0.160799,0.167283,0.173826,0.180357,0.186786,0.193057,0.199136,0.205061,0.210933,0.216893,0.223049,0.229418,0.23598,0.24275,0.249738,0.256939,0.264365,0.271989,0.279717,0.287423,0.29501,0.302449,0.309746,0.316873,0.323812,0.330554,0.337074,0.343383,0.349557,0.3557,0.361889,0.36815,0.374459,0.380786,0.38708,0.393302,0.399443,0.405512,0.411499,0.417394,0.423188
BTN,0.224108,0.229297,0.234703,0.240364,0.246324,0.252629,0.25927,0.266293,0.273868,0.28221,0.291457,0.301653,0.312712,0.324465,0.336677,0.349146,0.361862,0.374801,0.387731,0.400378,0.412561,0.423887,0.434385,0.444789,0.456135,0.46901,0.484151,0.500952,0.517068,0.529284,0.535505,0.534678,0.528085,0.518847,0.511382,0.508897,0.512377,0.520917,0.533506,0.548387,0.564187,0.580784,0.598421,0.616474,0.634235,0.651163,0.66692,0.681471,0.69499,0.70783,0.720246,0.732246,0.743711,0.754637,0.765008,0.77483
